date,amount,category,description
2025-04-01,250,Food,Zomato
2025-04-01,120,Food,Tea Stall
2025-04-02,1200,Transport,Ola
2025-04-02,800,Shopping,Amazon
2025-04-03,300,Food,Swiggy
2025-04-03,150,Food,Cafe Coffee Day
2025-04-04,2000,Bills,Electricity
2025-04-05,500,Entertainment,Movie
2025-04-06,700,Food,Dominos
2025-04-06,400,Transport,Uber
2025-04-07,1200,Shopping,Flipkart
2025-04-08,300,Food,Swiggy
2025-04-09,100,Food,Snacks
2025-04-10,1500,Bills,Internet
2025-04-11,600,Food,Zomato
2025-04-12,900,Shopping,Myntra
2025-04-13,350,Food,Swiggy
2025-04-14,2500,Travel,Train Ticket
2025-04-15,200,Food,Tea Stall